"AGENCIAS","Mora.Media","CAR.Media","Mora.8.30.Media","Judicial.Media","Cartera.Pesada.Promedio","Tasa.de.rentabilidad.Bruta","Ingreso.Promedio","Margen.Financiero.Mes.M","Intereses.de.Credito.Jun.17","Utilidad.Mes.M","Clientes","Cuentas","Desembolsos","Saldo","Meses.en.Funcion"
"Agencia_1",0.0617151460066782,0.0730975822773313,0.0292310954021192,0.0413279096155202,0.0815264779180039,1.66197884039845,374027.081188235,1090963.7064,2240211.79,121183.2091,1819,1975,1912700,20261397.06,7.3264887063655
"Agencia_2",0.0783961075969231,0.0795807928551833,0.0238501643712252,0.0594382089669862,0.106190674797005,2.00128785710864,279416.337517647,938618.9627,1775647.47,31513.4712,1267,1463,1473600,15684038.2,19.2197125256674
"Agencia_3",0.0711025593203342,0.0766395188170118,0.0279914962977545,0.0554015591987578,0.0760537317573173,1.77799119646094,408598.215411765,1466472.1389,2700761.9,210296.2826,3036,3250,2272720,27120439.62,26.5133470225873
"Agencia_4",0.0619298323116502,0.0681411529301746,0.0480973661283022,0.036914582255678,0.112533363128653,1.96605358169714,719976.185011765,2436409.4227,4511839.64,427145.0846,5616,6039,2128870,37785084.18,79.5728952772074
"Agencia_5",0.0605841215770394,0.069302135298786,0.0366704755939584,0.0464862660672092,0.0912401913043847,1.79962327923158,450459.667241176,1650754.8816,2802044.98,309514.5234,3431,3854,2362080,26960603.16,70.17659137577
"Agencia_6",0.0659617564288149,0.0688750871124302,0.0225620784916482,0.0506835012216846,0.0643527935545449,1.98429895475437,300976.521635294,1227425.5483,2095186.8,148327.7003,3742,4170,2093260.18,19146597.87,94.0616016427105
"Agencia_7",0.078094874383963,0.0836745722406228,0.0463972746114589,0.0514226280837231,0.114588671780269,1.98429895475437,125594.322670588,521806.6914,933263.64,44559.2148,1008,1098,1159400,8056338.08,3.67967145790554
"Agencia_8",0.0347848017473721,0.103739777311885,0.0413414675918529,0.0234052766940517,0.113083443178335,1.7657159788989,640563.546123529,2515036.8914,3454725.9,428023.0627,2847,3192,2496335.85,34920394.79,5.97946611909651
"Agencia_9",0.0519569578364429,0.12855697609104,0.0383375897201137,0.0256183057010598,0.17393265622415,2.58184951394821,502771.667052941,5832451.6681,2513242.33,1538618.1305,1769,1982,1410200,29844146.02,2
"Agencia_10",0.0605502920897095,0.071634625101077,0.040179918517744,0.0394894356091045,0.0797462500599423,2.00128785710864,477581.966676471,1775929.9267,3126233.87,194764.0053,3470,3966,2417500,27992120.11,76.6160164271047
